,Trial,Plans,Actions,Actions in Plans,Tot Time,Pl Time,S Time,N Eval.,N Exp.
0,1.0,2.0,14.0,26.0,9.84577,0.00683,0.00108,55.0,28.0
1,2.0,2.0,14.0,26.0,9.86758,0.00639,0.00105,55.0,28.0
2,3.0,2.0,14.0,26.0,10.01717,0.00636,0.00103,55.0,28.0
3,4.0,2.0,14.0,16.0,10.05765,0.00579,0.0005,24.0,16.0
4,5.0,2.0,16.0,27.0,11.29146,0.00639,0.00107,56.0,29.0
5,6.0,2.0,22.0,30.0,15.08225,0.0065,0.00116,59.0,32.0
6,7.0,2.0,16.0,27.0,11.52913,0.00648,0.00104,56.0,29.0
7,8.0,1.0,14.0,14.0,9.97113,0.00314,0.00041,20.0,14.0
8,9.0,4.0,22.0,42.0,15.53203,0.01203,0.00168,94.0,46.0
9,10.0,5.0,14.0,49.0,10.52935,0.01441,0.00178,99.0,51.0
