,Trial,Plans,Actions,Actions in Plans,Tot Time,Pl Time,S Time,N Eval.,N Exp.
0,1.0,2.0,26.0,34.0,17.20619,0.01096,0.00038,46.0,34.0
1,2.0,2.0,18.0,30.0,12.48082,0.00631,0.00036,42.0,30.0
2,3.0,1.0,14.0,14.0,9.73371,0.00337,0.00016,20.0,14.0
3,4.0,3.0,36.0,51.0,23.88678,0.00937,0.00063,84.0,51.0
4,5.0,3.0,28.0,47.0,18.75633,0.01429,0.00061,80.0,47.0
5,6.0,1.0,14.0,14.0,9.93623,0.00299,0.00017,20.0,14.0
6,7.0,1.0,14.0,14.0,9.9847,0.00297,0.00016,20.0,14.0
7,8.0,2.0,24.0,33.0,16.40695,0.00598,0.00036,45.0,33.0
8,9.0,1.0,14.0,14.0,10.03071,0.00784,0.00016,20.0,14.0
9,10.0,1.0,14.0,14.0,10.22339,0.00298,0.00018,20.0,14.0
