,Trial,Plans,Actions,Actions in Plans,Tot Time,Pl Time,S Time,N Eval.,N Exp.
0,1.0,2.0,22.0,30.0,14.68426,0.01129,0.00114,59.0,32.0
1,2.0,3.0,30.0,45.0,20.01925,0.01533,0.00166,83.0,47.0
2,3.0,1.0,14.0,14.0,10.1077,0.0035,0.00042,20.0,14.0
3,4.0,2.0,18.0,28.0,12.65674,0.00692,0.0011,57.0,30.0
4,5.0,2.0,18.0,28.0,12.80552,0.00688,0.00107,57.0,30.0
5,6.0,1.0,14.0,14.0,10.18718,0.00332,0.0005,20.0,14.0
6,7.0,1.0,14.0,14.0,10.19988,0.00822,0.00044,20.0,14.0
7,8.0,3.0,36.0,48.0,24.34348,0.01477,0.00174,86.0,50.0
8,9.0,1.0,14.0,14.0,10.10054,0.00833,0.00041,20.0,14.0
9,10.0,1.0,14.0,14.0,10.278,0.00813,0.00042,20.0,14.0
