,Trial,Plans,Actions,Actions in Plans,Tot Time,Pl Time,S Time,N Eval.,N Exp.
0,1.0,2.0,26.0,34.0,17.09333,0.00662,0.00038,46.0,34.0
1,2.0,2.0,18.0,30.0,12.32232,0.01128,0.00033,42.0,30.0
2,3.0,1.0,14.0,14.0,9.87566,0.01113,0.00126,20.0,14.0
3,4.0,3.0,36.0,51.0,23.73565,0.00939,0.00057,84.0,51.0
4,5.0,3.0,28.0,47.0,18.75831,0.01386,0.00057,80.0,47.0
5,6.0,1.0,14.0,14.0,9.99847,0.00351,0.00015,20.0,14.0
6,7.0,1.0,14.0,14.0,10.04719,0.00299,0.00016,20.0,14.0
7,8.0,2.0,24.0,33.0,16.3578,0.00595,0.00037,45.0,33.0
8,9.0,1.0,14.0,14.0,10.18111,0.00795,0.00015,20.0,14.0
9,10.0,1.0,14.0,14.0,10.07111,0.003,0.00014,20.0,14.0
