,Trial,Plans,Actions,Actions in Plans,Tot Time,Pl Time,S Time,N Eval.,N Exp.
0,1.0,1.0,14.0,14.0,9.90294,0.00845,0.00042,20.0,14.0
1,2.0,1.0,14.0,14.0,9.88741,0.00356,0.00042,20.0,14.0
2,3.0,1.0,14.0,14.0,9.9773,0.00361,0.00043,20.0,14.0
3,4.0,1.0,14.0,14.0,9.96566,0.0035,0.00041,20.0,14.0
4,5.0,1.0,14.0,14.0,9.7275,0.0036,0.00042,20.0,14.0
5,6.0,1.0,14.0,14.0,9.76792,0.00315,0.00044,20.0,14.0
6,7.0,1.0,14.0,14.0,10.03357,0.00355,0.00041,20.0,14.0
7,8.0,1.0,14.0,14.0,9.96175,0.00354,0.00042,20.0,14.0
8,9.0,1.0,14.0,14.0,10.08561,0.00973,0.00046,20.0,14.0
9,10.0,1.0,14.0,14.0,10.17564,0.00308,0.00042,20.0,14.0
