,Trial,Plans,Actions,Actions in Plans,Tot Time,Pl Time,S Time,N Eval.,N Exp.
0,1.0,1.0,14.0,14.0,9.66275,0.00799,0.00015,20.0,14.0
1,2.0,1.0,14.0,14.0,9.6907,0.00808,0.00015,20.0,14.0
2,3.0,1.0,14.0,14.0,9.87513,0.00305,0.00016,20.0,14.0
3,4.0,1.0,14.0,14.0,10.12186,0.00339,0.00015,20.0,14.0
4,5.0,1.0,14.0,14.0,10.03327,0.00365,0.00016,20.0,14.0
5,6.0,1.0,14.0,14.0,10.12774,0.00304,0.00015,20.0,14.0
6,7.0,1.0,14.0,14.0,9.86816,0.00303,0.00014,20.0,14.0
7,8.0,1.0,14.0,14.0,9.98682,0.00344,0.00014,20.0,14.0
8,9.0,1.0,14.0,14.0,9.85533,0.00844,0.00015,20.0,14.0
9,10.0,1.0,14.0,14.0,9.96881,0.003,0.00017,20.0,14.0
