,Trial,Plans,Actions,Actions in Plans,Tot Time,Pl Time,S Time,N Eval.,N Exp.
0,1.0,28.0,28.0,288.0,21.33536,0.08203,0.00486,612.0,288.0
1,2.0,26.0,26.0,269.0,20.33437,0.07202,0.00444,581.0,269.0
2,3.0,20.0,20.0,194.0,16.14253,0.05639,0.0026,289.0,194.0
3,4.0,14.0,14.0,105.0,11.97274,0.04191,0.00154,162.0,105.0
4,5.0,34.0,34.0,367.0,27.46697,0.09865,0.00604,748.0,367.0
5,6.0,32.0,32.0,360.0,25.94536,0.09214,0.00548,659.0,360.0
6,7.0,20.0,20.0,192.0,16.62521,0.05763,0.0032,390.0,192.0
7,8.0,14.0,14.0,105.0,12.15602,0.04119,0.00161,165.0,105.0
8,9.0,28.0,28.0,304.0,22.83843,0.08147,0.00476,568.0,304.0
9,10.0,18.0,18.0,163.0,15.12917,0.05063,0.00282,348.0,163.0
